"","Title","Year","Length","Budget","LogBudget"
"2400","It's a Wonderful Life",1946,118,"3180000",6.50242711998443
"2401","Italian Job, The",2003,111,"60000000",7.77815125038364
"2402","J-K Conspiracy, The",2004,89,"44000",4.64345267648619
"2403","JFK",1991,206,"40000000",7.60205999132796
"2404","Jabberwocky",1977,105,"500000",5.69897000433602
"2405","Jack",1996,113,"45000000",7.65321251377534
"2406","Jack Be Nimble",1993,92,"750000",5.8750612633917
"2407","Jack Frost",1998,101,"50000000",7.69897000433602
"2408","Jack and the Beanstalk",1952,78,"683000",5.83442070368153
"2409","Jack of Diamonds",2001,84,"1500000",6.17609125905568
"2410","Jackal, The",1997,124,"60000000",7.77815125038364
"2411","Jackass: The Movie",2002,87,"5000000",6.69897000433602
"2412","Jacket, The",2005,102,"19000000",7.27875360095283
"2413","Jackie Brown",1997,154,"12000000",7.07918124604763
"2414","Jackpot",2001,97,"400000",5.60205999132796
"2415","Jacob's Ladder",1990,115,"25000000",7.39794000867204
"2416","Jade",1995,107,"50000000",7.69897000433602
"2417","Jade Mask, The",1945,66,"75000",4.8750612633917
"2418","Jake's Booty Call",2003,77,"50000",4.69897000433602
"2419","Jakob the Liar",1999,120,"15000000",7.17609125905568
"2420","James Dean Story, The",1957,81,"35000",4.54406804435028
"2421","James and the Giant Peach",1996,79,"38000000",7.57978359661681
"2422","Jane Austen's Mafia!",1998,83,"10000000",7
"2423","Japanese Story",2003,105,"5740000",6.75891189239797
"2424","Jason Goes to Hell: The Final Friday",1993,91,"2500000",6.39794000867204
"2425","Jason X",2001,85,"14000000",7.14612803567824
"2426","Jason and the Argonauts",1963,104,"1000000",6
"2427","Jason's Lyric",1994,119,"7000000",6.84509804001426
"2428","Jaws",1975,130,"12000000",7.07918124604763
"2429","Jaws 3-D",1983,99,"20500000",7.31175386105575
"2430","Jaws: The Revenge",1987,91,"23000000",7.36172783601759
"2431","Jay and Silent Bob Strike Back",2001,104,"22000000",7.34242268082221
"2432","Jeepers Creepers",2001,90,"10000000",7
"2433","Jeepers Creepers II",2003,104,"25000000",7.39794000867204
"2434","Jefferson in Paris",1995,139,"14000000",7.14612803567824
"2435","Jelly Pilgrim",2004,4,"60000",4.77815125038364
"2436","Jennifer's Shadow",2004,96,"1000000",6
"2437","Jerry Maguire",1996,139,"50000000",7.69897000433602
"2438","Jerry and Tom",1998,106,"5000000",6.69897000433602
"2439","Jersey Girl",2004,102,"35000000",7.54406804435028
"2440","Jesse James",1939,106,"1600000",6.20411998265593
"2441","Jesus",1979,117,"6000000",6.77815125038364
"2442","Jesus' Son",1999,107,"2500000",6.39794000867204
"2443","Jet Attack",1958,68,"100000",5
"2444","Jezebel",1938,104,"1250000",6.09691001300806
"2445","Jim the World's Greatest",1976,94,"100000",5
"2446","Jimmy Hollywood",1994,112,"20000000",7.30102999566398
"2447","Jimmy Neutron: Boy Genius",2001,84,"25000000",7.39794000867204
"2448","Jimmy Show, The",2001,99,"1000000",6
"2449","Jing Gai'er",2004,108,"700000",5.84509804001426
"2450","Jing cha gu shi III: Chao ji jing cha",1992,95,"900000",5.95424250943933
"2451","Jing wu men",1972,107,"100000",5
"2452","Jingle All the Way",1996,88,"60000000",7.77815125038364
"2453","Jisatsu saakuru",2002,99,"250000",5.39794000867204
"2454","Jitterbugs",1943,75,"310600",5.49220145139254
"2455","Jitters, The",1989,95,"475000",5.67669360962487
"2456","Jizda",1994,90,"30000",4.47712125471966
"2457","Joan the Woman",1917,138,"302976",5.48140822757695
"2458","Joe",1970,102,"106000",5.02530586526477
"2459","Joe Dirt",2001,91,"16000000",7.20411998265593
"2460","Joe Somebody",2001,98,"38000000",7.57978359661681
"2461","Joe's Apartment",1996,80,"13000000",7.11394335230684
"2462","John Boorman Stole My Screenplay",2004,3,"2000",3.30102999566398
"2463","John Goldfarb, Please Come Home",1965,96,"4000000",6.60205999132796
"2464","John Johnson's Shadowhunters",2004,92,"2000",3.30102999566398
"2465","John Q",2002,116,"36000000",7.55630250076729
"2466","Johnny English",2003,87,"35000000",7.54406804435028
"2467","Johnny Firecloud",1975,94,"200000",5.30102999566398
"2468","Johnny Mnemonic",1995,96,"26000000",7.41497334797082
"2469","Johnny Suede",1991,97,"500000",5.69897000433602
"2470","Johnson Family Vacation",2004,97,"12000000",7.07918124604763
"2471","Jonah: A VeggieTales Movie",2002,82,"15000000",7.17609125905568
"2472","Jonathan Livingston Seagull",1973,120,"1500000",6.17609125905568
"2473","Josh Jarman",2004,96,"1300000",6.11394335230684
"2474","Josh and S.A.M.",1993,89,"18000000",7.25527250510331
"2475","Josie and the Pussycats",2001,98,"22000000",7.34242268082221
"2476","Journey of Jared Price, The",2000,96,"30000",4.47712125471966
"2477","Journey to the Seventh Planet",1962,83,"74600",4.87273882747267
"2478","Joy",1983,102,"2000000",6.30102999566398
"2479","Joy Ride",2001,97,"23000000",7.36172783601759
"2480","Judge Dredd",1995,96,"90000000",7.95424250943933
"2481","Judgment",2001,105,"11000000",7.04139268515823
"2482","Judgment at Nuremberg",1961,186,"3000000",6.47712125471966
"2483","Judith of Bethulia",1914,61,"36000",4.55630250076729
"2484","Jui kuen II",1994,99,"2000000",6.30102999566398
"2485","Julie Walking Home",2002,118,"5000000",6.69897000433602
"2486","Jumanji",1995,104,"65000000",7.81291335664286
"2487","Junebug and Hurricane",2004,9,"26000",4.41497334797082
"2488","Jung (War) in the Land of the Mujaheddin",2001,114,"275000",5.43933269383026
"2489","Jungle Book 2, The",2003,72,"20000000",7.30102999566398
"2490","Jungle Book, The",1994,111,"27000000",7.43136376415899
"2491","Jungle Fever",1991,132,"14000000",7.14612803567824
"2492","Jungle Princess, The",1936,85,"300000",5.47712125471966
"2493","Junior",1985,80,"350000",5.54406804435028
"2494","Jurassic Park",1993,127,"63000000",7.79934054945358
"2495","Jurassic Park III",2001,92,"93000000",7.96848294855393
"2496","Jurk, De",1996,95,"2650000",6.42324587393681
"2497","Juror, The",1996,118,"44000000",7.64345267648619
"2498","Just Add Pepper",2002,90,"75000",4.8750612633917
"2499","Just Imagine",1930,109,"250000",5.39794000867204
"2500","Just Looking",1999,97,"3000000",6.47712125471966
"2501","Just Visiting",2001,93,"40000000",7.60205999132796
"2502","Just the Ticket",1999,115,"12000000",7.07918124604763
"2503","Juwanna Mann",2002,91,"15600000",7.19312459835446
"2504","K-19: The Widowmaker",2002,140,"100000000",8
"2505","K-PAX",2001,120,"48000000",7.68124123737559
"2506","Kafka",1991,92,"11000000",7.04139268515823
"2507","Kagemusha",1980,162,"6000000",6.77815125038364
"2508","Kalifornia",1993,118,"9000000",6.95424250943933
"2509","Kama Sutra: A Tale of Love",1996,114,"3000000",6.47712125471966
"2510","Kangaroo Jack",2003,89,"60000000",7.77815125038364
"2511","Kansas City",1996,116,"19000000",7.27875360095283
"2512","Karakter",1997,122,"4500000",6.65321251377534
"2513","Kate & Leopold",2001,123,"48000000",7.68124123737559
"2514","Kayitz Shel Aviya, Ha-",1988,95,"350000",5.54406804435028
"2515","Kaze, Ghost Warrior",2004,23,"5000",3.69897000433602
"2516","Keane",2004,100,"850000",5.92941892571429
"2517","Keep, The",1983,96,"6000000",6.77815125038364
"2518","Keeper of the Past",2005,18,"30000",4.47712125471966
"2519","Keeper, The",2004,95,"4000000",6.60205999132796
"2520","Keeping the Faith",2000,128,"30000000",7.47712125471966
"2521","Kejar Amerika",2004,86,"100000",5
"2522","Kentucky Fried Movie, The",1977,90,"600000",5.77815125038364
"2523","Key West: City of Colors",2004,64,"90000",4.95424250943933
"2524","Keyhole, The",1933,69,"169000",5.22788670461367
"2525","Keys of the Kingdom, The",1944,137,"3000000",6.47712125471966
"2526","Khwaab",2004,86,"75000",4.8750612633917
"2527","Kicked in the Head",1997,87,"4000000",6.60205999132796
"2528","Kid from Borneo, The",1933,18,"21500",4.3324384599156
"2529","Kid, The",1921,54,"250000",5.39794000867204
"2530","Kid, The",2000,104,"65000000",7.81291335664286
"2531","Kids",1995,91,"1500000",6.17609125905568
"2532","Kids Are Alright, The",1979,101,"2000000",6.30102999566398
"2533","Kiki",1931,87,"810568",5.90878945445411
"2534","Kill Bill: Vol. 1",2003,111,"55000000",7.74036268949424
"2535","Kill Bill: Vol. 2",2004,136,"30000000",7.47712125471966
"2536","Kill Me Again",1989,94,"4000000",6.60205999132796
"2537","Kill the Scream Queen",2004,74,"5000",3.69897000433602
"2538","Killer Bean 2: The Party",2000,7,"2800",3.44715803134222
"2539","Killer Eye, The",1999,72,"400000",5.60205999132796
"2540","Killer Klowns from Outer Space",1988,88,"2000000",6.30102999566398
"2541","Killer Shrews, The",1959,69,"123000",5.0899051114394
"2542","Killer of Sheep",1977,83,"100000",5
"2543","Killer's Kiss",1955,67,"75000",4.8750612633917
"2544","Killers",1996,90,"100000",5
"2545","Killers",1997,86,"100000",5
"2546","Killing Box, The",1993,80,"1200000",6.07918124604763
"2547","Killing Kevin",2004,22,"20000",4.30102999566398
"2548","Killing Me Softly",2002,104,"25000000",7.39794000867204
"2549","Killing Spree",1987,90,"75000",4.8750612633917
"2550","Killing Zoe",1994,99,"1500000",6.17609125905568
"2551","Killing, The",1956,85,"320000",5.50514997831991
"2552","Kimberly",1999,106,"2000000",6.30102999566398
"2553","King & Country",1964,89,"300000",5.47712125471966
"2554","King Arthur",2004,140,"90000000",7.95424250943933
"2555","King Kong",1933,100,"670000",5.82607480270083
"2556","King Kong",1976,134,"24000000",7.38021124171161
"2557","King Richard and the Crusaders",1954,114,"3000000",6.47712125471966
"2558","King Solomon's Mines",1985,100,"12500000",7.09691001300806
"2559","King of Comedy, The",1983,109,"20000000",7.30102999566398
"2560","King of Jazz, The",1930,105,"2000000",6.30102999566398
"2561","King of Kings, The",1927,155,"2500000",6.39794000867204
"2562","King of the Hill",1972,18,"45000",4.65321251377534
"2563","King of the Hill",1993,109,"8000000",6.90308998699194
"2564","King of the Mountain",1981,90,"2000000",6.30102999566398
"2565","Kingdom of Heaven",2005,145,"130000000",8.11394335230684
"2566","Kingdom of the Spiders",1977,97,"500000",5.69897000433602
"2567","Kingdom of the Vampire",1991,70,"2500",3.39794000867204
"2568","Kingpin",1996,117,"25000000",7.39794000867204
"2569","Kinky Coaches and the Pom Pom Pussycats, The",1981,91,"2500000",6.39794000867204
"2570","Kinsey",2004,118,"11000000",7.04139268515823
"2571","Kismet",1944,100,"3000000",6.47712125471966
"2572","Kismet",1955,113,"2692960",6.4302299026472
"2573","Kiss & Tell",1996,96,"1000000",6
"2574","Kiss Me, Stupid",1964,125,"3500000",6.54406804435028
"2575","Kiss of the Dragon",2001,98,"25000000",7.39794000867204
"2576","Kiss of the Tarantula",1976,85,"200000",5.30102999566398
"2577","Kiss on the Nose, A",2004,13,"25000",4.39794000867204
"2578","Kiss or Kill",1997,96,"2000000",6.30102999566398
"2579","Kiss the Blood Off My Hands",1948,79,"1100000",6.04139268515823
"2580","Kiss the Girls",1997,111,"27000000",7.43136376415899
"2581","Kiss the Sky",1999,107,"6000000",6.77815125038364
"2582","Kiss, The",1929,89,"257000",5.40993312333129
"2583","Kiss, The",2004,25,"6000",3.77815125038364
"2584","Kissin' Cousins",1964,96,"800000",5.90308998699194
"2585","Kissing Jessica Stein",2001,97,"1000000",6
"2586","Klansman, The",1974,112,"5000000",6.69897000433602
"2587","Knack, The",1965,84,"364000",5.56110138364906
"2588","Knight's Tale, A",2001,132,"41000000",7.61278385671974
"2589","Knock Off",1998,91,"35000000",7.54406804435028
"2590","Kohav Ha'Kahol, Ha-",1995,86,"100000",5
"2591","Konga",1961,90,"500000",5.69897000433602
"2592","Kontroll",2003,107,"500000",5.69897000433602
"2593","Korea",1995,87,"500000",5.69897000433602
"2594","Krasnaya palatka",1971,121,"10000000",7
"2595","Krokus: As Long as We Live",2004,82,"200000",5.30102999566398
"2596","Kronos",1957,78,"160000",5.20411998265593
"2597","Kruimeltje",1999,119,"5000000",6.69897000433602
"2598","Krush Groove",1985,97,"3000000",6.47712125471966
"2599","Kundun",1997,128,"28000000",7.44715803134222
"2600","Kung Pow: Enter the Fist",2002,82,"10000000",7
"2601","L.A. Confidential",1997,138,"35000000",7.54406804435028
"2602","L.A. Knights",2003,20,"15000",4.17609125905568
"2603","L.A. Twister",2004,92,"450000",5.65321251377534
"2604","LD 50 Lethal Dose",2003,97,"8000000",6.90308998699194
"2605","La Cucaracha",1934,20,"50000",4.69897000433602
"2606","Labyrinth",1986,101,"25000000",7.39794000867204
"2607","Lady Be Good",1941,112,"863460",5.9362422235692
"2608","Lady Windermere's Fan",1925,89,"320000",5.50514997831991
"2609","Lady and the Tramp",1955,75,"4000000",6.60205999132796
"2610","Lady from Shanghai, The",1947,79,"2000000",6.30102999566398
"2611","Lady in White",1988,112,"4700000",6.67209785793572
"2612","Lady of the Lake",1998,82,"60000",4.77815125038364
"2613","Ladyhawke",1985,121,"20000000",7.30102999566398
"2614","Ladykillers, The",2004,104,"35000000",7.54406804435028
"2615","Lair of the White Worm, The",1988,93,"2500000",6.39794000867204
"2616","Lake Placid",1999,82,"27000000",7.43136376415899
"2617","Lana's Rain",2002,107,"215000",5.3324384599156
"2618","Land Before Time, The",1988,70,"12300000",7.0899051114394
"2619","Land of College Prophets, The",2005,83,"80000",4.90308998699194
"2620","Land of the Pharaohs",1955,105,"2900000",6.46239799789896
"2621","Lara Croft Tomb Raider: The Cradle of Life",2003,117,"90000000",7.95424250943933
"2622","Lara Croft: Tomb Raider",2001,100,"80000000",7.90308998699194
"2623","Las Vegas Weekend",1986,83,"2000000",6.30102999566398
"2624","Lashou shentan",1992,131,"4500000",6.65321251377534
"2625","Last Action Hero",1993,130,"60000000",7.77815125038364
"2626","Last Big Attraction, The",1999,90,"60000",4.77815125038364
"2627","Last Breeze of Summer",1991,30,"60000",4.77815125038364
"2628","Last Castle, The",2001,131,"60000000",7.77815125038364
"2629","Last Chair",2003,30,"25000",4.39794000867204
"2630","Last Chase, The",1981,101,"4900000",6.69019608002851
"2631","Last Days of Pompeii, The",1935,96,"1000000",6
"2632","Last Dragon, The",1985,109,"10000000",7
"2633","Last Emperor, The",1987,219,"25000000",7.39794000867204
"2634","Last Full Measure, The",2004,18,"50000",4.69897000433602
"2635","Last Horror Film, The",1982,87,"2000000",6.30102999566398
"2636","Last Horror Movie, The",2003,80,"780000",5.89209460269048
"2637","Last House on the Left, The",1972,85,"87000",4.93951925261862
"2638","Last Man Standing",1996,101,"67000000",7.82607480270083
"2639","Last Movie, The",1971,108,"1000000",6
"2640","Last Orders",2001,109,"12000000",7.07918124604763
"2641","Last Party 2000",2001,90,"1000000",6
"2642","Last Patrol, The",2000,95,"8200000",6.91381385238372
"2643","Last Picture Show, The",1971,118,"1300000",6.11394335230684
"2644","Last Resort, The",1997,86,"5000000",6.69897000433602
"2645","Last Rung On the Ladder, The",1987,12,"1500",3.17609125905568
"2646","Last Samurai, The",2003,154,"100000000",8
"2647","Last Seduction, The",1994,110,"2500000",6.39794000867204
"2648","Last Soviet Movie, The",2003,80,"3500000",6.54406804435028
"2649","Last Stagecoach West, The",1957,87,"150000",5.17609125905568
"2650","Last Starfighter, The",1984,101,"15000000",7.17609125905568
"2651","Last Temptation of Christ, The",1988,164,"7000000",6.84509804001426
"2652","Last Time I Committed Suicide, The",1997,92,"4000000",6.60205999132796
"2653","Last Time I Saw Archie, The",1961,98,"2000000",6.30102999566398
"2654","Last Word",2002,16,"8500",3.92941892571429
"2655","Last of the Mohicans, The",1992,117,"40000000",7.60205999132796
"2656","Late Bloomer",2004,13,"12000",4.07918124604763
"2657","Late Veracity",2002,20,"50000",4.69897000433602
"2658","Latter Days",2003,107,"850000",5.92941892571429
"2659","Laughing Dead",1998,85,"200000",5.30102999566398
"2660","Lawn Dogs",1997,101,"8000000",6.90308998699194
"2661","Lawnmower Man, The",1987,12,"5000",3.69897000433602
"2662","Lawnmower Man, The",1992,140,"10000000",7
"2663","Lawrence of Arabia",1962,227,"15000000",7.17609125905568
"2664","Laws of Attraction",2004,90,"28000000",7.44715803134222
"2665","Laws of Gravity",1992,100,"38000",4.57978359661681
"2666","League of Extraordinary Gentlemen, The",2003,110,"78000000",7.89209460269048
"2667","League of Their Own, A",1992,128,"40000000",7.60205999132796
"2668","Learning Curve, The",2001,113,"1000000",6
"2669","Leather Jacket Love Story",1997,85,"67000",4.82607480270083
"2670","Leather and Iron",2002,90,"650000",5.81291335664286
"2671","Leave It!",2002,28,"30000",4.47712125471966
"2672","Leaving Las Vegas",1995,111,"4000000",6.60205999132796
"2673","Leftenan Adnan",2000,127,"8000000",6.90308998699194
"2674","Legacy, The",1978,102,"2500000",6.39794000867204
"2675","Legal Eagles",1986,116,"35000000",7.54406804435028
"2676","Legally Blonde",2001,96,"18000000",7.25527250510331
"2677","Legally Blonde 2: Red, White & Blonde",2003,95,"45000000",7.65321251377534
"2678","Legend",1985,89,"25000000",7.39794000867204
"2679","Legend of Bagger Vance, The",2000,126,"60000000",7.77815125038364
"2680","Legend of Blood Mountain, The",1965,65,"750000",5.8750612633917
"2681","Legend of Boggy Creek, The",1973,85,"100000",5
"2682","Legend of Razorback, The",2002,25,"50000",4.69897000433602
"2683","Legend of the Lone Ranger, The",1981,98,"18000000",7.25527250510331
"2684","Legend of the Lost",1957,109,"1750000",6.24303804868629
"2685","Legend of the Mummy",1997,96,"2000000",6.30102999566398
"2686","Legends of the Fall",1994,133,"30000000",7.47712125471966
"2687","Leggenda del pianista sull'oceano, La",1998,120,"9000000",6.95424250943933
"2688","Legion of the Dead",2001,92,"2700000",6.43136376415899
"2689","Legion of the Night",1995,85,"80000",4.90308998699194
"2690","Legionnaire",1998,98,"35000000",7.54406804435028
"2691","Lemony Snicket's A Series of Unfortunate Events",2004,108,"125000000",8.09691001300806
"2692","Lengua asesina, La",1996,98,"4000000",6.60205999132796
"2693","Leprechaun",1993,92,"900000",5.95424250943933
"2694","Leprechaun 2",1994,86,"2000000",6.30102999566398
"2695","Less Like Me",2004,121,"30000",4.47712125471966
"2696","Lethal Weapon",1987,117,"15000000",7.17609125905568
"2697","Lethal Weapon 4",1998,127,"140000000",8.14612803567824
"2698","Levity",2003,100,"7500000",6.8750612633917
"2699","Leylasede",1995,100,"700000",5.84509804001426
"2700","Lian ai zhong de Bao Bei",2004,95,"5000000",6.69897000433602
"2701","Lianna",1983,110,"300000",5.47712125471966
"2702","Liar Liar",1997,86,"45000000",7.65321251377534
"2703","Libera me",2000,119,"4000000",6.60205999132796
"2704","Liberata Me",2002,27,"66000",4.81954393554187
"2705","Liberty Bound",2004,90,"100000",5
"2706","Liberty Stands Still",2002,92,"11000000",7.04139268515823
"2707","Licence to Kill",1989,133,"40000000",7.60205999132796
"2708","License Exam",2004,2,"1000",3
"2709","License to Drive",1988,88,"8000000",6.90308998699194
"2710","Life",1999,108,"75000000",7.8750612633917
"2711","Life Aquatic with Steve Zissou, The",2004,118,"25000000",7.39794000867204
"2712","Life Less Ordinary, A",1997,103,"12000000",7.07918124604763
"2713","Life and Times of MC Beer Bong, The",2004,85,"1000",3
"2714","Life as a House",2001,127,"18000000",7.25527250510331
"2715","Life in Bed",2003,75,"750000",5.8750612633917
"2716","Life of Brian",1979,94,"4000000",6.60205999132796
"2717","Life of David Gale, The",2003,130,"50000000",7.69897000433602
"2718","Life of Jimmy Dolan, The",1933,89,"202000",5.30535136944662
"2719","Lifeforce",1985,101,"25000000",7.39794000867204
"2720","Light It Up",1999,99,"13000000",7.11394335230684
"2721","Light Sleeper",1992,103,"5000000",6.69897000433602
"2722","Light in the Piazza",1962,102,"553280",5.74294497159383
"2723","Lightning Over Braddock: A Rustbowl Fantasy",1988,80,"54000",4.73239375982297
"2724","Lightning Over Water",1980,116,"700000",5.84509804001426
"2725","Lights of New York",1928,57,"75000",4.8750612633917
"2726","Like Mike",2002,99,"30000000",7.47712125471966
"2727","Lilies of the Field",1963,94,"240000",5.38021124171161
"2728","Lilo & Stitch",2002,86,"80000000",7.90308998699194
"2729","Limbo",1999,126,"8300000",6.91907809237607
"2730","Limey, The",1999,89,"9000000",6.95424250943933
"2731","Line of Masculinity, The",2003,4,"1000",3
"2732","Lion King, The",1994,89,"79300000",7.8992731873176
"2733","Lionheart",1990,105,"2500000",6.39794000867204
"2734","Liquid Lips",1976,73,"12000",4.07918124604763
"2735","List of Adrian Messenger, The",1963,98,"3000000",6.47712125471966
"2736","Lithivm",1998,127,"500000",5.69897000433602
"2737","Little American, The",1917,80,"166949",5.22258382203799
"2738","Little Black Book",2004,111,"35000000",7.54406804435028
"2739","Little Boy Lost",1978,90,"395000",5.59659709562646
"2740","Little Fugitive",1953,80,"30000",4.47712125471966
"2741","Little Giant, The",1933,76,"197000",5.29446622616159
"2742","Little Minister, The",1934,110,"650000",5.81291335664286
"2743","Little Nellie Kelly",1940,98,"665300",5.82301752344605
"2744","Little Nicky",2000,90,"80000000",7.90308998699194
"2745","Little Odessa",1994,98,"2300000",6.36172783601759
"2746","Little Secrets",2001,97,"2500000",6.39794000867204
"2747","Little Shop of Horrors",1986,94,"30000000",7.47712125471966
"2748","Little Shop of Horrors, The",1960,70,"27000",4.43136376415899
"2749","Little Vampire, The",2000,91,"22000000",7.34242268082221
"2750","Little Women",1933,117,"424000",5.62736585659273
"2751","Littlest Cowboy, The",2003,19,"10000",4
"2752","Live and Let Die",1973,121,"7000000",6.84509804001426
"2753","Livers Ain't Cheap",1997,89,"2500000",6.39794000867204
"2754","Living Daylights, The",1987,130,"30000000",7.47712125471966
"2755","Living In Missouri",2001,90,"10000",4
"2756","Living Life",2004,88,"150000",5.17609125905568
"2757","Living Out Loud",1998,103,"12000000",7.07918124604763
"2758","Living and Dining",2003,92,"100000",5
"2759","Lizzie",2001,87,"500000",5.69897000433602
"2760","Lizzie McGuire Movie, The",2003,94,"17000000",7.23044892137827
"2761","Llamada de apareamiento",2004,3,"2000",3.30102999566398
"2762","Loaded Weapon 1",1993,84,"13000000",7.11394335230684
"2763","Lobo Paramilitary Christmas Special, The",2002,13,"2400",3.38021124171161
"2764","Logan's Run",1976,120,"9000000",6.95424250943933
"2765","Lolita",1962,152,"2000000",6.30102999566398
"2766","Lolita",1997,137,"58000000",7.76342799356294
"2767","Lone Star",1996,135,"5000000",6.69897000433602
"2768","Lone Wolf McQuade",1983,105,"5000000",6.69897000433602
"2769","Lonelyland",2002,15,"7000",3.84509804001426
"2770","Lonesome Jim",2005,91,"500000",5.69897000433602
"2771","Long Gray Line, The",1955,138,"1748000",6.24254142829838
"2772","Long Kiss Goodnight, The",1996,120,"65000000",7.81291335664286
"2773","Long Riders, The",1980,99,"10000000",7
"2774","Longest Day, The",1962,180,"8000000",6.90308998699194
"2775","Look Who's Talking",1989,93,"7500000",6.8750612633917
"2776","Lookin' to Get Out",1982,105,"17000000",7.23044892137827
"2777","Looking Out",2002,15,"42000",4.6232492903979
"2778","Looney Tunes: Back in Action",2003,91,"80000000",7.90308998699194
"2779","Lord of the Rings, The",1978,132,"8000000",6.90308998699194
"2780","Lord of the Rings: The Fellowship of the Ring, The",2001,208,"93000000",7.96848294855393
"2781","Lord of the Rings: The Return of the King, The",2003,251,"94000000",7.9731278535997
"2782","Lord of the Rings: The Two Towers, The",2002,223,"94000000",7.9731278535997
"2783","Lorna",1964,78,"60000",4.77815125038364
"2784","Loser",1996,85,"38000",4.57978359661681
"2785","Loser",2000,92,"20000000",7.30102999566398
"2786","Losin' It",1983,100,"7000000",6.84509804001426
"2787","Losing Isaiah",1995,111,"17000000",7.23044892137827
"2788","Losing Lois Lane",2004,20,"6000",3.77815125038364
"2789","Loss of Sexual Innocence, The",1999,106,"4000000",6.60205999132796
"2790","Lost Boundaries",1949,99,"250000",5.39794000867204
"2791","Lost Highway",1997,135,"15000000",7.17609125905568
"2792","Lost Horizon",1937,118,"2000000",6.30102999566398
"2793","Lost Horizon",1973,150,"12000000",7.07918124604763
"2794","Lost Patrol, The",1934,66,"254000",5.40483371661994
"2795","Lost Souls",2000,97,"28000000",7.44715803134222
"2796","Lost Weekend, The",1945,101,"1250000",6.09691001300806
"2797","Lost World: Jurassic Park, The",1997,129,"73000000",7.86332286012046
"2798","Lost in Alaska",1952,80,"672000",5.82736927305382
"2799","Lost in Space",1998,130,"80000000",7.90308998699194
"2800","Lost in Translation",2003,102,"4000000",6.60205999132796
"2801","Lost/Found",2003,70,"15000",4.17609125905568
"2802","Lot Like Love, A",2005,107,"30000000",7.47712125471966
"2803","Louisiana Story",1948,78,"258000",5.41161970596323
"2804","Love",2005,90,"350000",5.54406804435028
"2805","Love & Basketball",2000,124,"15000000",7.17609125905568
"2806","Love Disease",2000,108,"60000",4.77815125038364
"2807","Love God",1997,82,"22000",4.34242268082221
"2808","Love Letter, The",1999,88,"15000000",7.17609125905568
"2809","Love Letters",1984,98,"550000",5.74036268949424
"2810","Love Liza",2002,90,"1000000",6
"2811","Love Me Tender",1956,89,"1000000",6
"2812","Love Object",2003,88,"1000000",6
"2813","Love Parade, The",1929,107,"650000",5.81291335664286
"2814","Love Stinks",1999,94,"4000000",6.60205999132796
"2815","Love Story",1970,99,"2200000",6.34242268082221
"2816","Love and Death",1975,85,"3000000",6.47712125471966
"2817","Love and Other Catastrophes",1996,78,"250000",5.39794000867204
"2818","Love in the Afternoon",1957,125,"2100000",6.32221929473392
"2819","Love's Labour's Lost",2000,93,"13000000",7.11394335230684
"2820","Love, Ludlow",2005,97,"75000",4.8750612633917
"2821","Lovely & Amazing",2001,91,"250000",5.39794000867204
"2822","Lover Girl",1997,87,"1000000",6
"2823","Lu mao zi",2004,100,"500000",5.69897000433602
"2824","Lucky 13",2004,95,"1200000",6.07918124604763
"2825","Lucky Break",2001,108,"6000000",6.77815125038364
"2826","Lucky Lady",1975,118,"13000000",7.11394335230684
"2827","Lucky Numbers",2000,105,"65000000",7.81291335664286
"2828","Luminarias",2000,100,"1000000",6
"2829","Lumpia",2003,80,"1000",3
"2830","Lunatics: A Love Story",1991,87,"850000",5.92941892571429
"2831","Lunes al sol, Los",2002,113,"4000000",6.60205999132796
"2832","Lurking Fear",1994,76,"1000000",6
"2833","Luz prodigiosa, La",2003,108,"2000000",6.30102999566398
"2834","M.D.C. - Maschera di cera",1997,98,"3000000",6.47712125471966
"2835","MASH",1970,112,"3500000",6.54406804435028
"2836","Macabre",1958,72,"150000",5.17609125905568
"2837","Machuca",2004,121,"1500000",6.17609125905568
"2838","Mackenna's Gold",1969,136,"7000000",6.84509804001426
"2839","Macon County Line",1974,89,"225000",5.35218251811136
"2840","Mad City",1997,115,"50000000",7.69897000433602
"2841","Mad Dogs",2002,91,"1400000",6.14612803567824
"2842","Mad Love",1935,68,"257502",5.41078060652513
"2843","Mad Max",1979,93,"350000",5.54406804435028
"2844","Madadayo",1993,134,"11900000",7.07554696139253
"2845","Madam Satan",1930,115,"980000",5.9912260756925
"2846","Madchen's Uniform",2004,13,"1000",3
"2847","Made",2001,94,"5000000",6.69897000433602
"2848","Made Incorrect",2002,18,"25000",4.39794000867204
"2849","Made in U.S.A.",1966,90,"50000",4.69897000433602
"2850","Madhouse",2004,91,"3000000",6.47712125471966
"2851","Madness and Genius",2003,103,"19000",4.27875360095283
"2852","Madonna: Truth or Dare",1991,114,"4500000",6.65321251377534
"2853","Magic Roundabout, The",2005,85,"20000000",7.30102999566398
"2854","Magic of Marciano, The",2000,100,"4500000",6.65321251377534
"2855","Magnetic Monster, The",1953,76,"105000",5.02118929906994
"2856","Magnificent Ambersons, The",1942,131,"850000",5.92941892571429
"2857","Magnolia",1999,188,"37000000",7.56820172406699
"2858","Maid in Manhattan",2002,105,"55000000",7.74036268949424
"2859","Mailman, The",2004,85,"75000",4.8750612633917
"2860","Majestic, The",2001,156,"72000000",7.85733249643127
"2861","Major Dundee",1965,152,"3800000",6.57978359661681
